"Row","Group","Emoji","Name","Code Point","Windows Input","HTML Entity","macOS Input"
"128","Smileys & Emotion","😾","E0.6 pouting cat","U+1F63E","Type 1F63E, then Alt+X","&#x1F63E;","⌃⌘Space → type name and select"
"129","Smileys & Emotion","🙈","E0.6 see-no-evil monkey","U+1F648","Type 1F648, then Alt+X","&#x1F648;","⌃⌘Space → type name and select"
"130","Smileys & Emotion","🙉","E0.6 hear-no-evil monkey","U+1F649","Type 1F649, then Alt+X","&#x1F649;","⌃⌘Space → type name and select"
"131","Smileys & Emotion","🙊","E0.6 speak-no-evil monkey","U+1F64A","Type 1F64A, then Alt+X","&#x1F64A;","⌃⌘Space → type name and select"
"132","Smileys & Emotion","💌","E0.6 love letter","U+1F48C","Type 1F48C, then Alt+X","&#x1F48C;","⌃⌘Space → type name and select"
"133","Smileys & Emotion","💘","E0.6 heart with arrow","U+1F498","Type 1F498, then Alt+X","&#x1F498;","⌃⌘Space → type name and select"
"134","Smileys & Emotion","💝","E0.6 heart with ribbon","U+1F49D","Type 1F49D, then Alt+X","&#x1F49D;","⌃⌘Space → type name and select"
"135","Smileys & Emotion","💖","E0.6 sparkling heart","U+1F496","Type 1F496, then Alt+X","&#x1F496;","⌃⌘Space → type name and select"
"136","Smileys & Emotion","💗","E0.6 growing heart","U+1F497","Type 1F497, then Alt+X","&#x1F497;","⌃⌘Space → type name and select"
"137","Smileys & Emotion","💓","E0.6 beating heart","U+1F493","Type 1F493, then Alt+X","&#x1F493;","⌃⌘Space → type name and select"
"138","Smileys & Emotion","💞","E0.6 revolving hearts","U+1F49E","Type 1F49E, then Alt+X","&#x1F49E;","⌃⌘Space → type name and select"
"139","Smileys & Emotion","💕","E0.6 two hearts","U+1F495","Type 1F495, then Alt+X","&#x1F495;","⌃⌘Space → type name and select"
"140","Smileys & Emotion","💟","E0.6 heart decoration","U+1F49F","Type 1F49F, then Alt+X","&#x1F49F;","⌃⌘Space → type name and select"
"141","Smileys & Emotion","❣️","E1.0 heart exclamation","U+2763 U+FE0F","Type 2763FE0F, then Alt+X","&#x2763; &#xFE0F;","⌃⌘Space → type name and select"
"142","Smileys & Emotion","❣","E1.0 heart exclamation","U+2763","Type 2763, then Alt+X","&#x2763;","⌃⌘Space → type name and select"
"143","Smileys & Emotion","💔","E0.6 broken heart","U+1F494","Type 1F494, then Alt+X","&#x1F494;","⌃⌘Space → type name and select"
"144","Smileys & Emotion","❤️‍🔥","E13.1 heart on fire","U+2764 U+FE0F U+200D U+1F525","Type 2764FE0F200D1F525, then Alt+X","&#x2764; &#xFE0F; &#x200D; &#x1F525;","⌃⌘Space → type name and select"
"145","Smileys & Emotion","❤‍🔥","E13.1 heart on fire","U+2764 U+200D U+1F525","Type 2764200D1F525, then Alt+X","&#x2764; &#x200D; &#x1F525;","⌃⌘Space → type name and select"
"146","Smileys & Emotion","❤️‍🩹","E13.1 mending heart","U+2764 U+FE0F U+200D U+1FA79","Type 2764FE0F200D1FA79, then Alt+X","&#x2764; &#xFE0F; &#x200D; &#x1FA79;","⌃⌘Space → type name and select"
"147","Smileys & Emotion","❤‍🩹","E13.1 mending heart","U+2764 U+200D U+1FA79","Type 2764200D1FA79, then Alt+X","&#x2764; &#x200D; &#x1FA79;","⌃⌘Space → type name and select"
"148","Smileys & Emotion","❤️","E0.6 red heart","U+2764 U+FE0F","Type 2764FE0F, then Alt+X","&#x2764; &#xFE0F;","⌃⌘Space → type name and select"
"149","Smileys & Emotion","❤","E0.6 red heart","U+2764","Type 2764, then Alt+X","&#x2764;","⌃⌘Space → type name and select"
"150","Smileys & Emotion","🩷","E15.0 pink heart","U+1FA77","Type 1FA77, then Alt+X","&#x1FA77;","⌃⌘Space → type name and select"
"151","Smileys & Emotion","🧡","E5.0 orange heart","U+1F9E1","Type 1F9E1, then Alt+X","&#x1F9E1;","⌃⌘Space → type name and select"
"152","Smileys & Emotion","💛","E0.6 yellow heart","U+1F49B","Type 1F49B, then Alt+X","&#x1F49B;","⌃⌘Space → type name and select"
"153","Smileys & Emotion","💚","E0.6 green heart","U+1F49A","Type 1F49A, then Alt+X","&#x1F49A;","⌃⌘Space → type name and select"
"154","Smileys & Emotion","💙","E0.6 blue heart","U+1F499","Type 1F499, then Alt+X","&#x1F499;","⌃⌘Space → type name and select"
"155","Smileys & Emotion","🩵","E15.0 light blue heart","U+1FA75","Type 1FA75, then Alt+X","&#x1FA75;","⌃⌘Space → type name and select"
"156","Smileys & Emotion","💜","E0.6 purple heart","U+1F49C","Type 1F49C, then Alt+X","&#x1F49C;","⌃⌘Space → type name and select"
"157","Smileys & Emotion","🤎","E12.0 brown heart","U+1F90E","Type 1F90E, then Alt+X","&#x1F90E;","⌃⌘Space → type name and select"
"158","Smileys & Emotion","🖤","E3.0 black heart","U+1F5A4","Type 1F5A4, then Alt+X","&#x1F5A4;","⌃⌘Space → type name and select"
"159","Smileys & Emotion","🩶","E15.0 grey heart","U+1FA76","Type 1FA76, then Alt+X","&#x1FA76;","⌃⌘Space → type name and select"
"160","Smileys & Emotion","🤍","E12.0 white heart","U+1F90D","Type 1F90D, then Alt+X","&#x1F90D;","⌃⌘Space → type name and select"
"161","Smileys & Emotion","💋","E0.6 kiss mark","U+1F48B","Type 1F48B, then Alt+X","&#x1F48B;","⌃⌘Space → type name and select"
"162","Smileys & Emotion","💯","E0.6 hundred points","U+1F4AF","Type 1F4AF, then Alt+X","&#x1F4AF;","⌃⌘Space → type name and select"
"163","Smileys & Emotion","💢","E0.6 anger symbol","U+1F4A2","Type 1F4A2, then Alt+X","&#x1F4A2;","⌃⌘Space → type name and select"
"164","Smileys & Emotion","💥","E0.6 collision","U+1F4A5","Type 1F4A5, then Alt+X","&#x1F4A5;","⌃⌘Space → type name and select"
"165","Smileys & Emotion","💫","E0.6 dizzy","U+1F4AB","Type 1F4AB, then Alt+X","&#x1F4AB;","⌃⌘Space → type name and select"
"166","Smileys & Emotion","💦","E0.6 sweat droplets","U+1F4A6","Type 1F4A6, then Alt+X","&#x1F4A6;","⌃⌘Space → type name and select"
"167","Smileys & Emotion","💨","E0.6 dashing away","U+1F4A8","Type 1F4A8, then Alt+X","&#x1F4A8;","⌃⌘Space → type name and select"
"168","Smileys & Emotion","🕳️","E0.7 hole","U+1F573 U+FE0F","Type 1F573FE0F, then Alt+X","&#x1F573; &#xFE0F;","⌃⌘Space → type name and select"
"169","Smileys & Emotion","🕳","E0.7 hole","U+1F573","Type 1F573, then Alt+X","&#x1F573;","⌃⌘Space → type name and select"
"170","Smileys & Emotion","💬","E0.6 speech balloon","U+1F4AC","Type 1F4AC, then Alt+X","&#x1F4AC;","⌃⌘Space → type name and select"
"171","Smileys & Emotion","👁️‍🗨️","E2.0 eye in speech bubble","U+1F441 U+FE0F U+200D U+1F5E8 U+FE0F","Type 1F441FE0F200D1F5E8FE0F, then Alt+X","&#x1F441; &#xFE0F; &#x200D; &#x1F5E8; &#xFE0F;","⌃⌘Space → type name and select"
"172","Smileys & Emotion","👁‍🗨️","E2.0 eye in speech bubble","U+1F441 U+200D U+1F5E8 U+FE0F","Type 1F441200D1F5E8FE0F, then Alt+X","&#x1F441; &#x200D; &#x1F5E8; &#xFE0F;","⌃⌘Space → type name and select"
"173","Smileys & Emotion","👁️‍🗨","E2.0 eye in speech bubble","U+1F441 U+FE0F U+200D U+1F5E8","Type 1F441FE0F200D1F5E8, then Alt+X","&#x1F441; &#xFE0F; &#x200D; &#x1F5E8;","⌃⌘Space → type name and select"
